Seconds,Volts
3.78873E-05, 0.2613087
3.789734E-05, 0.2109599
3.790739E-05, 0.1974344
3.791743E-05, 0.1411884
3.792747E-05, 0.1480668
3.793752E-05, 0.147372
3.794756E-05, 0.236341
3.79576E-05, 0.08881704
3.796765E-05, 0.1622451
3.797769E-05, 0.1839922
3.798774E-05, 0.1083013
3.799778E-05, 0.0285839
3.800783E-05, 0.153031
3.801787E-05, 0.1053639
3.802792E-05, -0.01328509
3.803796E-05, -0.02226308
3.804801E-05, 0.02903608
3.805805E-05, -0.0351097
3.806809E-05, 0.04794171
3.807814E-05, 0.08469822
3.808818E-05, -0.03693774
3.809823E-05, -0.06637566
3.810827E-05, -0.1018634
3.811832E-05, -0.09297746
3.812836E-05, -0.04845482
3.813841E-05, -0.07750731
3.814845E-05, -0.1767494
3.815849E-05, -0.1415517
3.816854E-05, -0.1191623
3.817858E-05, -0.1766112
3.818863E-05, -0.1758364
3.819867E-05, -0.1532829
3.820872E-05, -0.2275233
3.821876E-05, -0.2070091
3.822881E-05, -0.1742184
3.823885E-05, -0.1865405
3.824889E-05, -0.2734826
3.825894E-05, -0.3257411
3.826898E-05, -0.2906635
3.827902E-05, -0.2969661
3.828907E-05, -0.248794
3.829911E-05, -0.2584597
3.830916E-05, -0.4054503
3.83192E-05, -0.2648181
3.832925E-05, -0.3413174
3.833929E-05, -0.3857898
3.834934E-05, -0.3717817
3.835938E-05, -0.3497855
3.836942E-05, -0.4744844
3.837947E-05, -0.4960995
3.838951E-05, -0.5062462
3.839956E-05, -0.3689173
3.84096E-05, -0.4838977
3.841965E-05, -0.4107185
3.842969E-05, -0.4934623
3.843974E-05, -0.415157
3.844978E-05, -0.5330113
3.845982E-05, -0.6085971
3.846987E-05, -0.6072847
3.847991E-05, -0.596409
3.848996E-05, -0.6298526
3.85E-05, -0.6100187
3.851005E-05, -0.5629936
3.852009E-05, -0.5495687
3.853014E-05, -0.6027665
3.854018E-05, -0.6513243
3.855022E-05, -0.6996084
3.856027E-05, -0.603261
3.857031E-05, -0.6836169
3.858036E-05, -0.6428516
3.85904E-05, -0.7470955
3.860044E-05, -0.7451117
3.861049E-05, -0.7033588
3.862053E-05, -0.6939445
3.863058E-05, -0.7630162
3.864062E-05, -0.8152965
3.865067E-05, -0.7395081
3.866071E-05, -0.7230942
3.867075E-05, -0.8056652
3.86808E-05, -0.8235804
3.869084E-05, -0.8859407
3.870089E-05, -0.9208266
3.871093E-05, -0.8526917
3.872098E-05, -0.8893077
3.873102E-05, -0.9256167
3.874107E-05, -0.8291514
3.875111E-05, 0.5208459
3.876115E-05, 0.8880643
3.87712E-05, 0.8853744
3.878124E-05, 0.8535272
3.879129E-05, 0.9292779
3.880133E-05, 0.8238745
3.881138E-05, 0.7535365
3.882142E-05, 0.9014322
3.883147E-05, 0.8900191
3.884151E-05, 0.7104641
3.885155E-05, 0.8591163
3.88616E-05, 0.784636
3.887164E-05, 0.7617506
3.888169E-05, 0.7917317
3.889173E-05, 0.7653075
3.890178E-05, 0.721463
3.891182E-05, 0.7626579
3.892187E-05, 0.6677367
3.893191E-05, 0.6416912
3.894195E-05, 0.6977329
3.8952E-05, 0.6009446
3.896204E-05, 0.6573573
3.897208E-05, 0.5925336
3.898213E-05, 0.5596132
3.899217E-05, 0.5926757
3.900222E-05, 0.6125774
3.901226E-05, 0.5949978
3.902231E-05, 0.5771303
3.903235E-05, 0.48902
3.90424E-05, 0.5535941
3.905244E-05, 0.4392834
3.906248E-05, 0.4201962
3.907253E-05, 0.3890502
3.908257E-05, 0.4425705
3.909262E-05, 0.423097
3.910266E-05, 0.4917973
3.911271E-05, 0.3536659
3.912275E-05, 0.4001591
3.91328E-05, 0.4514262
3.914284E-05, 0.4089473
3.915288E-05, 0.3585041
3.916293E-05, 0.3778674
3.917297E-05, 0.3688552
3.918302E-05, 0.2473193
3.919306E-05, 0.2786122
3.920311E-05, 0.3241172
3.921315E-05, 0.3102321
3.92232E-05, 0.2929427
3.923324E-05, 0.1638254
3.924328E-05, 0.2112559
3.925333E-05, 0.1463395
3.926337E-05, 0.1221173
3.927341E-05, 0.2557572
3.928346E-05, 0.1101046
3.92935E-05, 0.2117626
3.930355E-05, 0.1520583
3.931359E-05, 0.101413
3.932364E-05, 0.1018642
3.933368E-05, 0.1629285
3.934373E-05, 0.02592073
3.935377E-05, 0.1655367
3.936381E-05, 0.09216726
3.937386E-05, -0.005031858
3.93839E-05, -0.03789889
3.939395E-05, 0.0009170044
3.940399E-05, 0.04324305
3.941404E-05, -0.07903931
3.942408E-05, -0.03866916
3.943413E-05, -0.05123749
3.944417E-05, -0.04233181
3.945421E-05, -0.05489046
3.946426E-05, 0.01527353
3.94743E-05, -0.1045282
3.948435E-05, -0.1692259
3.949439E-05, -0.0430864
3.950444E-05, -0.1218562
3.951448E-05, -0.10379
3.952453E-05, -0.140765
3.953457E-05, -0.123323
3.954461E-05, -0.203606
3.955466E-05, -0.2702057
3.95647E-05, -0.2457122
3.957475E-05, -0.2347788
3.958479E-05, -0.3174767
3.959484E-05, -0.2109401
3.960488E-05, -0.241761
3.961492E-05, -0.2494698
3.962497E-05, -0.3060313
3.963501E-05, -0.3660371
3.964506E-05, -0.2370334
3.96551E-05, -0.2942452
3.966514E-05, -0.355652
3.967519E-05, -0.4296929
3.968523E-05, -0.2933244
3.969528E-05, -0.3368475
3.970532E-05, -0.4754225
3.971537E-05, -0.4030047
3.972541E-05, -0.477448
3.973546E-05, -0.4820609
3.97455E-05, -0.4774708
3.975555E-05, -0.5187985
3.976559E-05, -0.5071886
3.977563E-05, -0.518257
3.978568E-05, -0.4315137
3.979572E-05, -0.5218221
3.980577E-05, -0.579256
3.981581E-05, -0.5213382
3.982586E-05, -0.5961334
3.98359E-05, -0.5317712
3.984595E-05, -0.6312652
3.985599E-05, -0.6827591
3.986603E-05, -0.6715336
3.987608E-05, -0.6571071
3.988612E-05, -0.6169704
3.989617E-05, -0.7264411
3.990621E-05, -0.7593998
3.991626E-05, -0.6069959
3.99263E-05, -0.789562
3.993635E-05, -0.7819812
3.994639E-05, -0.7964724
3.995643E-05, -0.6808864
3.996648E-05, -0.7329182
3.997652E-05, -0.7942139
3.998656E-05, -0.7606882
3.999661E-05, -0.8780828
4.000665E-05, -0.8348352
4.00167E-05, -0.8708513
4.002674E-05, -0.9330753
4.003679E-05, -0.7928668
4.004683E-05, -0.9608982
4.005688E-05, -0.8604051
4.006692E-05, -0.888975
4.007696E-05, -0.8531858
4.008701E-05, 0.4313069
4.009705E-05, 0.8683011
4.01071E-05, 0.8853747
4.011714E-05, 0.8974881
4.012719E-05, 0.8998508
4.013723E-05, 0.8343572
4.014728E-05, 0.8464285
4.015732E-05, 0.8159497
4.016736E-05, 0.7908697
4.017741E-05, 0.7511474
4.018745E-05, 0.699748
4.01975E-05, 0.7962027
4.020754E-05, 0.7555839
4.021759E-05, 0.6701217
4.022763E-05, 0.7690166
4.023768E-05, 0.6671124
4.024772E-05, 0.660026
4.025776E-05, 0.7417227
4.026781E-05, 0.6800113
4.027785E-05, 0.6333151
4.02879E-05, 0.6130036
4.029794E-05, 0.5421109
4.030798E-05, 0.5391119
4.031803E-05, 0.5701977
4.032807E-05, 0.6654825
4.033812E-05, 0.4831809
4.034816E-05, 0.4723606
4.035821E-05, 0.5848078
4.036825E-05, 0.5052385
4.037829E-05, 0.437925
4.038834E-05, 0.5354757
4.039838E-05, 0.5378984
4.040843E-05, 0.4688294
4.041847E-05, 0.4575239
4.042852E-05, 0.4195314
4.043856E-05, 0.3929935
4.044861E-05, 0.3896926
4.045865E-05, 0.4019838
4.046869E-05, 0.3656747
4.047874E-05, 0.3806937
4.048878E-05, 0.403792
4.049883E-05, 0.3093598
4.050887E-05, 0.2614118
4.051892E-05, 0.3825653
4.052896E-05, 0.3264361
4.053901E-05, 0.2647275
4.054905E-05, 0.1915957
4.055909E-05, 0.2605543
4.056914E-05, 0.2124884
4.057918E-05, 0.3183572
4.058923E-05, 0.1990546
4.059927E-05, 0.2706963
4.060932E-05, 0.1601707
4.061936E-05, 0.2237975
4.062941E-05, 0.251314
4.063945E-05, 0.1747897
4.064949E-05, 0.2204163
4.065954E-05, 0.1863325
4.066958E-05, 0.09545065
4.067962E-05, 0.1104833
4.068967E-05, 0.1060526
4.069971E-05, 0.08139557
4.070976E-05, 0.1239578
4.07198E-05, -0.02122401
4.072985E-05, 0.07291289
4.073989E-05, -0.06861047
4.074994E-05, 0.01333802
4.075998E-05, -0.09343857
4.077002E-05, -0.01448181
4.078007E-05, -0.1278075
4.079011E-05, -0.08239272
4.080016E-05, -0.07795641
4.08102E-05, -0.02907105
4.082025E-05, -0.1730103
4.083029E-05, -0.1104301
4.084034E-05, -0.1480657
4.085038E-05, -0.1645469
4.086042E-05, -0.1739529
4.087047E-05, -0.1751515
4.088051E-05, -0.2404705
4.089056E-05, -0.2178573
4.09006E-05, -0.2460205
4.091065E-05, -0.2607652
4.092069E-05, -0.1927477
4.093074E-05, -0.2047873
4.094078E-05, -0.2210283
4.095082E-05, -0.2092824
4.096087E-05, -0.2519824
4.097091E-05, -0.3782322
4.098095E-05, -0.256135
4.0991E-05, -0.3934429
4.100104E-05, -0.2951921
4.101109E-05, -0.2985789
4.102113E-05, -0.2876405
4.103118E-05, -0.3768047
4.104122E-05, -0.4404207
4.105127E-05, -0.3551779
4.106131E-05, -0.5033749
4.107135E-05, -0.4674158
4.10814E-05, -0.418346
4.109144E-05, -0.55512
4.110149E-05, -0.4036532
4.111153E-05, -0.5808263
4.112158E-05, -0.481203
4.113162E-05, -0.5875907
4.114167E-05, -0.4896615
4.115171E-05, -0.5344244
4.116175E-05, -0.6483194
4.11718E-05, -0.648939
4.118184E-05, -0.6674505
4.119189E-05, -0.5340383
4.120193E-05, -0.5852176
4.121198E-05, -0.5935625
4.122202E-05, -0.6098036
4.123207E-05, -0.5910767
4.124211E-05, -0.7034124
4.125215E-05, -0.6491025
4.12622E-05, -0.7794044
4.127224E-05, -0.6792286
4.128229E-05, -0.7701149
4.129233E-05, -0.7583168
4.130238E-05, -0.6947761
4.131242E-05, -0.7717469
4.132246E-05, -0.8775879
4.133251E-05, -0.8301042
4.134255E-05, -0.8904794
4.13526E-05, -0.9121295
4.136264E-05, -0.8463256
4.137268E-05, -0.8212577
4.138273E-05, -0.8995293
4.139277E-05, -0.8372359
4.140282E-05, -0.9249024
4.141286E-05, -0.865006
4.142291E-05, 0.4612337
4.143295E-05, 0.9794129
4.1443E-05, 0.9193784
4.145304E-05, 0.9431636
4.146308E-05, 0.9431779
4.147313E-05, 0.928542
4.148317E-05, 0.7500561
4.149322E-05, 0.7367104
4.150326E-05, 0.7238896
4.151331E-05, 0.8264963
4.152335E-05, 0.7619213
4.15334E-05, 0.8325601
4.154344E-05, 0.7780065
4.155349E-05, 0.6654956
4.156353E-05, 0.6591318
4.157357E-05, 0.6695207
4.158362E-05, 0.6673881
4.159366E-05, 0.5978602
4.160371E-05, 0.6480694
4.161375E-05, 0.6136212
4.16238E-05, 0.7071185
4.163384E-05, 0.6103649
4.164389E-05, 0.6793485
4.165393E-05, 0.5500333
4.166397E-05, 0.5036122
4.167401E-05, 0.6251172
4.168406E-05, 0.6178219
4.16941E-05, 0.4694801
4.170415E-05, 0.6030243
4.171419E-05, 0.5444882
4.172424E-05, 0.5131439
4.173428E-05, 0.5539646
4.174433E-05, 0.4688298
4.175437E-05, 0.4179126
4.176442E-05, 0.3581631
4.177446E-05, 0.4862672
4.17845E-05, 0.3387432
4.179455E-05, 0.3297159
4.180459E-05, 0.3078046
4.181464E-05, 0.3091168
4.182468E-05, 0.366809
4.183473E-05, 0.3061076
4.184477E-05, 0.3247041
4.185482E-05, 0.2924979
4.186486E-05, 0.2224308
4.18749E-05, 0.3474171
4.188495E-05, 0.1949861
4.189499E-05, 0.2605546
4.190504E-05, 0.2895283
4.191508E-05, 0.2234222
4.192513E-05, 0.1990549
4.193517E-05, 0.2057697
4.194522E-05, 0.2816352
4.195526E-05, 0.1027687
4.19653E-05, 0.2292667
4.197535E-05, 0.08145643
4.198539E-05, 0.0598064
4.199543E-05, 0.1701083
4.200548E-05, 0.05111502
4.201552E-05, 0.02443349
4.202557E-05, 0.1522048
4.203561E-05, 0.1307928
4.204566E-05, 0.03713909
4.20557E-05, 0.05362589
4.206575E-05, 0.09618816
4.207579E-05, 0.01138462
4.208583E-05, -0.07903864
4.209588E-05, -0.09638014
4.210592E-05, -0.04617102
4.211597E-05, -0.06512185
4.212601E-05, -0.1313549
4.213606E-05, -0.01916641
4.21461E-05, -0.1490834
4.215615E-05, -0.1802294
4.216619E-05, -0.1255305
4.217623E-05, -0.1591792
4.218628E-05, -0.1766101
4.219632E-05, -0.2129424
